BURST -1 -1
000014AF72 00004B487A
FFFFFD310E 0000083085
FFFFF9B1A1 FFFFFD5B2A
000003303E FFFFF7FC92
0000060825 0000036937
FFFFFC2271 0000056620
FFFFFCA52D FFFFFD863F
00000130D2 FFFFFC73EF
000003F33E 000003B560
FFFFFC55FE 0000029398
FFFFFDAF73 FFFFFD8EA6
00000251B6 FFFFFD314B
000002C1CB 000000FF2B
FFFFFC454B 000001E717
FFFFFF2A98 FFFFFC02B0
0000020DDF FFFFFEFE67
0000028C50 0000033B58
FFFFFC1189 00000118BE
00000032A5 FFFFFD1D36
000002AB9E FFFFFF8DF5
0000020ACA 000002B2F5
FFFFFD38AB 0000006A19
00000111AA FFFFFE0936
000001E160 FFFFFF8741
0000011C25 000002DA89
FFFFFC76BB 00000028F9
FFFFFF9116 FFFFFE02DB
000002EDF4 0000000000
FFFFFF9132 000001FD3A
FFFFFC769F FFFFFFD72F
0000011BF4 FFFFFD2563
000001E167 00000078B7
0000011195 000001F6D9
FFFFFD38AD FFFFFF960E
0000020ABF FFFFFD4D17
000002AB9F 000000720A
000000328D 000002E2D4
FFFFFC118C FFFFFEE718
0000028C83 FFFFFCC4C4
0000020DD7 00000101B2
FFFFFF2AB8 000003FD39
FFFFFC4562 FFFFFE18E9
000002C1A8 FFFFFF00E2
00000251AC 000002CEA9
FFFFFDAFC7 0000027158
FFFFFC5605 FFFFFD6C87
000003F2F3 FFFFFC4AA7
00000130D0 0000038BE2
FFFFFCA50E 00000279BF
FFFFFC2290 FFFFFA99F1
00000607E7 FFFFFC96F0
0000033025 000008032C
FFFFF9B200 000002A4C7
FFFFFD312C FFFFF7CFD1
00000C48EF FFFFFEAD4C
000001B59F 00000CC667
FFFFEDE732 000002FABE
FFFFFEED5D FFFFE4436D
000041BBA2 000008596C
BURST 1 63
FFFFF13E5E FFFFBF61DF
00001BB6D6 FFFFFE595A
FFFFFECEE5 0000124E3D
FFFFF31E25 FFFFFF8D15
0000001CCA FFFFF3A45F
0000086CCE 000001FDFA
FFFFFDFC9B 00000688E4
FFFFF7B6B5 FFFFFD9CEC
000002CDB0 FFFFF9A963
000005C08B 000003515B
FFFFFDDD2C 0000039511
FFFFFC5AA0 FFFFFF29BE
0000034D6D FFFFFBB4B4
000002EC51 00000364A8
FFFFFDCBBA 0000028B1A
FFFFFCFAAA FFFFFDF7F4
000000B85E FFFFFD28B7
0000024274 00000385F7
FFFFFC1D21 00000138A3
FFFFFECC31 FFFFFE0E29
000002F7C8 FFFFFD25A8
0000017A0D 000003CE1F
FFFFFD1BE3 0000001643
FFFFFF4BBD FFFFFD62E4
0000027CB8 FFFFFDB43C
000000AF32 000002B9A0
FFFFFDF0B2 FFFFFF20BD
FFFFFF58B5 FFFFFE2CC7
000002BB31 FFFFFE9D8C
0000008196 00000380E0
FFFFFE1025 000000A073
FFFFFFB694 FFFFFD15EA
00000205B5 0000003CAA
0000002FD4 00000388FE
FFFFFD0D26 FFFFFF2CA2
00000048FC FFFFFE1511
000001D9A0 FFFFFEBE00
FFFFFFDC1D 000002CE53
FFFFFD1D0A FFFFFE3BD7
0000002E6F FFFFFD4C91
000002DA5E FFFFFF857C
FFFFFF4B22 000004051D
FFFFFC88AB FFFFFDC7BB
000000CCD9 FFFFFDDB7D
0000040D2C 0000007050
FFFFFE78D0 000003E5A7
FFFFFEBCF9 FFFFFD5ABE
00000290E2 FFFFFD6ADF
000002A869 0000021044
FFFFFDCBBB 000003E60C
FFFFFBEC11 FFFFFC6ED3
000003697C FFFFFE77C6
000002CABA 00000318B3
FFFFFB01AD 0000045FFC
FFFFFC03E8 FFFFFA5515
000007A903 FFFFFC0AFA
0000033FBD 00000603DD
FFFFF82076 00000398CA
FFFFFD7AC4 FFFFF3E789
00000C8B8F FFFFFD0C0F
000004BD60 000011B82D
FFFFE48082 000003C953
000001DDBD FFFFBDC311
FFFFFE40EF FFFFEE44F5
BURST 2 62
FFFFFBA3DE FFFFE4945F
00001255D2 FFFFFF6460
000000D0C9 00000CDD81
FFFFF3B0E1 0000011966
000001282B FFFFF76B52
000006B380 0000015D23
FFFFFE6FD1 0000087B2F
FFFFF96BBC FFFFFDD4EA
000002BCD1 FFFFF9F341
000003C615 000001C5FC
FFFFFF8634 000003B5E0
FFFFFB673A FFFFFD222D
000003173F FFFFFCC1FA
000002BF56 000001F1A4
FFFFFE460A 000003348D
FFFFFD1A62 FFFFFF8F43
000003496A FFFFFD67F2
000001989C 000003C027
FFFFFE2E72 0000016343
FFFFFCDED2 FFFFFD53D2
000003A475 FFFFFE2841
0000005E70 000002DEB4
FFFFFD77B6 000000F524
FFFFFD7863 FFFFFDC094
000002A4E8 FFFFFF0D19
FFFFFF55BD 0000022280
FFFFFE3F76 000000D463
FFFFFE5AC8 FFFFFD6AF6
0000036FE9 FFFFFF271A
000000D038 000001DDC1
FFFFFD2091 0000009266
0000000933 FFFFFDF70F
0000038001 FFFFFF7753
FFFFFF781F 0000030410
FFFFFE1044 FFFFFFE7BF
FFFFFE9145 FFFFFE4827
000002CE83 FFFFFFDCF4
FFFFFE866A 0000030C15
FFFFFD4B7D 00000015B8
FFFFFF3EE8 FFFFFD3582
00000411D2 0000004F4D
FFFFFE2155 000003AA98
FFFFFDCA0A FFFFFF69CC
0000000A02 FFFFFBECD4
0000040756 0000012385
FFFFFD7D9D 000001840A
FFFFFD2DB7 FFFFFDB30A
000001CAE1 FFFFFD2789
000004187D 000001CFD4
FFFFFCD9AF 0000046840
FFFFFE240D FFFFFCC10B
000002CEBD FFFFFCEB05
000004D7F3 0000048A72
FFFFFAC035 0000048546
FFFFFB4F8C FFFFF8C384
000005AB0B FFFFFC2D26
0000045A1A 0000077BCD
FFFFF43563 000003B1D2
FFFFFBD4BA FFFFF3CDD3
0000112AF2 FFFFF98C1A
00000676B7 00001AFEF0
FFFFBDE5C7 000004A2A7
FFFFEE8656 00000379EC
FFFFC1288B 000015034F
BURST 5 59
FFFFFB5FE7 FFFFF489EF
0000088BEF FFFFFE9DD7
000000A40A 000006CEC6
FFFFF76E48 000000F734
0000002A17 FFFFF91234
0000069587 000000DD2C
FFFFFF65E5 0000042078
FFFFFC4FA0 0000009F24
00000168AE FFFFFAC494
000003FFD2 000002046F
FFFFFEEF88 0000033141
FFFFFC6E56 FFFFFF4735
FFFFFF946E FFFFFD19BF
0000036F7C 0000026445
FFFFFCDFD8 0000029D73
FFFFFE24F9 FFFFFEA9CC
000001A600 FFFFFC3A7D
000002D21C 000002F33A
FFFFFD5C8E 0000012FBE
FFFFFE5927 FFFFFDDAE7
0000016AD8 FFFFFCED41
000001ACEA 0000024135
FFFFFDC3A4 FFFFFFFBAA
FFFFFEB2A2 FFFFFE9080
000001FE57 FFFFFDACDE
000001CF11 0000030B02
FFFFFE7350 0000015226
FFFFFE9E76 FFFFFD6AE0
000001F595 FFFFFF71FD
00000186A9 00000331BB
FFFFFCF5C5 0000005E3E
FFFFFF87B9 FFFFFE1ECD
0000013A86 FFFFFE2206
000000F162 000002A56D
FFFFFCA84D FFFFFF78B8
FFFFFF2276 FFFFFD6F6F
00000273D1 FFFFFE7776
000000E292 000003FBDD
FFFFFBF307 FFFFFF4646
FFFFFFEB81 FFFFFDB6D2
000003E964 FFFFFEDA8A
000000147A 0000042F89
FFFFFDD254 FFFFFE09FA
00000161E3 FFFFFCA1BD
0000033EAF 000000E3A1
FFFFFF74A1 00000471DA
FFFFFADE66 FFFFFE43D3
00000290FB FFFFFD4749
000003C438 000001CACB
FFFFFD0F8A 000005F453
FFFFFA25C7 FFFFFC49AE
0000059003 FFFFF96978
0000054D5C 000004504B
FFFFFA1A50 00000655DC
FFFFF90B07 FFFFF5CA46
00000A75CD FFFFF878A3
00000B2918 00000E8EBB
FFFFE80B05 00000E05A2
FFFFE85FEE FFFFC2164B
FFFFF799DE FFFFF04961
FFFFD9A586 FFFFC9F591
000018F79A FFFFF3DF02
000005E739 0000115D3C
FFFFF3EDD2 0000048399
BURST 10 54
FFFFFDA869 FFFFF9C8D8
000003EC7D FFFFFE95FE
0000024985 000002F5F9
FFFFFAB8C2 000001393B
FFFFFFE4A8 FFFFFB8564
0000035156 FFFFFF6EA6
0000010BA0 0000037CE0
FFFFFDA3BE 000001BCA5
0000007D7D FFFFFBD75D
000003C7E9 0000018617
FFFFFFB1F8 0000024476
FFFFFBE59C 00000052A8
00000145DF FFFFFC1F06
0000024A52 000001C4D9
FFFFFEE2EA 00000277CE
FFFFFC9F2B 0000003321
0000013303 FFFFFD7591
0000010A03 000001FAFE
FFFFFF58EA 000001D34D
FFFFFD02BB FFFFFF5642
000001D513 FFFFFCF885
000001E4CD 000000BEF7
FFFFFE5F58 0000026F93
FFFFFE9600 FFFFFE895E
000002191B FFFFFD25FA
000001C19B 0000028224
FFFFFE9033 0000014D2C
FFFFFDC5F2 FFFFFFCC24
000001E36D FFFFFDEB90
0000011BAA 00000332AD
FFFFFE2564 000001F90B
FFFFFD7D6C FFFFFE8F92
00000318C2 FFFFFD56F0
0000014580 000003EA39
FFFFFE0592 0000012630
FFFFFD2530 FFFFFD1741
000003A781 FFFFFDF4B2
FFFFFF4C3D 000002D8B9
FFFFFC60B6 0000005E6A
FFFFFF413D FFFFFCB857
0000042D7E FFFFFE6281
000000E3AA 0000055812
FFFFFC63CE FFFFFF0501
FFFFFFCE49 FFFFFBD5C1
000006A2EA FFFFFFC92E
FFFFFF7C1B 000006E8AE
FFFFF79129 FFFFFE32F7
0000014DEC FFFFF949CE
0000085E9F 00000236E4
FFFFFA463E 00000AF37F
FFFFF46D74 FFFFFA52E1
00000793AF FFFFEF4BFF
000017A934 00000E84E0
FFFFD488C5 0000320589
FFFFF619B9 00000ED0B7
FFFFE26BEB 00003B4BD9
FFFFE9882A FFFFEFB25F
00000C8835 FFFFF29B8C
000009AC10 00000884B5
FFFFF81350 0000097AA7
FFFFFAC07F FFFFF91DF1
000005B2C0 FFFFFC3A11
000004E3D4 00000719FC
FFFFF9CFE9 0000031E94
BURST 16 48
FFFFFD3140 FFFFFDAE40
000000FF3E FFFFFD3E39
000001E717 000003BABC
FFFFFC02A7 000000D576
FFFFFEFE60 FFFFFDF215
0000033B68 FFFFFD73A9
00000118BF 000003EE81
FFFFFD1D2F FFFFFFCD61
FFFFFF8DF3 FFFFFD5455
000002B300 FFFFFDF530
0000006A1A 000002C75E
FFFFFE092F FFFFFEEE56
FFFFFF873E FFFFFE1E94
000002DA94 FFFFFEE3D7
00000028F8 000003894F
FFFFFE02D5 0000006EF0
0000000000 FFFFFD120B
000001FD39 0000006ECE
FFFFFFD72E 0000038961
FFFFFD2564 FFFFFEE40F
00000078B6 FFFFFE1E99
000001F6D8 FFFFFEEE6B
FFFFFF960E 000002C751
FFFFFD4D19 FFFFFDF542
000000720A FFFFFD545F
000002E2D5 FFFFFFCD75
FFFFFEE717 000003EE73
FFFFFCC4C5 FFFFFD737F
00000101B2 FFFFFDF226
000003FD38 000000D54A
FFFFFE18E8 000003BA9B
FFFFFF00E3 FFFFFD3E59
000002CEB4 FFFFFDAE49
0000027161 0000025044
FFFFFD6C7D 000003AA09
FFFFFC4A98 FFFFFC0CFE
0000038BF1 FFFFFECF2B
00000279C9 0000035B00
FFFFFA99DC 000003DD7D
FFFFFC96E1 FFFFF9F802
000008034C FFFFFCCFCD
000002A4D2 0000064E19
FFFFF7CFB0 000002CEE0
FFFFFEAD47 FFFFF3B6E2
00000CC69A FFFFFE4A58
000002FACB 0000121917
FFFFE442FE 00000112A6
000008598C FFFFBE4359
0000000000 FFFFEE2E0E
FFFFF7A64F FFFFBE41F9
00001BBD35 00000112B6
FFFFFD0528 0000121917
FFFFF33971 FFFFFE4A57
00000152C1 FFFFF3B6F7
0000083047 000002CED5
FFFFFD5B3A 0000064E33
FFFFF7FCD4 FFFFFCCFD9
000003691A FFFFF9F80C
00000565F7 000003DD6F
FFFFFD8651 0000035ABC
FFFFFC740E FFFFFECF34
000003B542 FFFFFC0CE2
0000029385 000003A9E2
FFFFFD8EB7 000002507E
BURST 31 33
FFFFFDFA42 0000003CAB
0000004982 FFFFFD15C2
000001EFE7 000000A01B
FFFFFF7EAB 0000038107
FFFFFD44B6 FFFFFE9D90
000000A752 FFFFFE2CBF
0000020F52 FFFFFF2092
FFFFFF50D0 000002B99A
FFFFFD833B FFFFFDB432
000000B471 FFFFFD62D1
000002E427 0000001691
FFFFFE85D0 000003CE1A
FFFFFD0837 FFFFFD258D
00000133DE FFFFFE0E21
000003E2CE 00000138AC
FFFFFDBDAA 00000385DD
FFFFFF47A0 FFFFFD28B7
0000030567 FFFFFDF7D3
0000023444 0000028AD6
FFFFFD13E9 00000364A9
FFFFFCB28C FFFFFBB4DC
000003A56C FFFFFF29C0
00000222C6 0000039515
FFFFFA3F9E 000003514A
FFFFFD3258 FFFFF9A97D
000008494C FFFFFD9CD5
0000020356 000006889A
FFFFF79376 000001FDE4
FFFFFFE335 FFFFF3A4C1
00000CE187 FFFFFF8D0C
00000130FC 0000124D8E
FFFFE44AC2 FFFFFE5957
00000EC166 FFFFBF62E1
000001BF12 FFFFEE4403
FFFFFE2236 FFFFBDC094
00001B803B 000003C96E
FFFFFB4278 000011B8A9
FFFFF3740B FFFFFD0BFB
0000028549 FFFFF3E748
000007DFA7 00000398CE
FFFFFCC035 00000603F5
FFFFF856C2 FFFFFC0ADD
000003FC2B FFFFFA552B
000004FE33 0000045FFD
FFFFFD3542 00000318CE
FFFFFC9664 FFFFFE77C0
00000413E3 FFFFFC6ECC
0000023462 000003E5F6
FFFFFD5796 0000021044
FFFFFD6F0A FFFFFD6ACE
000001430A FFFFFD5ABE
0000018737 000003E5A8
FFFFFBF2D8 0000007028
FFFFFF333C FFFFFDDB87
0000037742 FFFFFDC7EB
000000B4B0 00000404FC
FFFFFD25AD FFFFFF857E
FFFFFFD18D FFFFFD4C8E
000002E2E8 FFFFFE3B93
00000023CE 000002CE3F
FFFFFE266A FFFFFEBE0E
FFFFFFB6F5 FFFFFE151C
000002F2B4 FFFFFF2C8D
FFFFFFD03B 00000388C7
BURST 32 32
FFFFFD1200 0000000000
0000006EDF FFFFFE02CE
0000038968 00000028CA
FFFFFEE411 000002DAB0
FFFFFE1E8E FFFFFF8744
FFFFFEEE6A FFFFFE0923
000002C759 00000069F0
FFFFFDF53E 000002B2F7
FFFFFD5455 FFFFFF8DF3
FFFFFFCD74 FFFFFD1D22
000003EE82 00000118EB
FFFFFD7376 0000033B4A
FFFFFDF21D FFFFFEFE48
000000D54D FFFFFC02B9
000003BAA9 000001E71D
FFFFFD3E50 000000FF23
FFFFFDAE49 FFFFFD314B
0000025043 FFFFFD8E9F
000003AA09 0000029383
FFFFFC0D00 000003B568
FFFFFECF2B FFFFFC740F
0000035B00 FFFFFD8638
000003DD7D 0000056624
FFFFF9F803 000003691E
FFFFFCCFCC FFFFF7FCB3
0000064E1A FFFFFD5B2F
000002CEDF 000008304F
FFFFF3B6E2 00000152BA
FFFFFE4A58 FFFFF33965
0000121917 FFFFFD0537
00000112A5 00001BBD01
FFFFBE435A FFFFF7A673
FFFFEE2DC7 0000000000
FFFFBE40F3 00000859D3
00000112BB FFFFE4425C
000012195F 000002FAE3
FFFFFE4A50 00000CC6C2
FFFFF3B6C6 FFFFFEAD3B
000002CEE1 FFFFF7CF98
0000064E4B 000002A4CF
FFFFFCCFCD 000008034C
FFFFF9F7F5 FFFFFC96D8
000003DD7E FFFFFA99F4
0000035AC9 00000279B9
FFFFFECF2F 0000038C01
FFFFFC0CD3 FFFFFC4AB0
000003A9F0 FFFFFD6C71
0000025087 0000027152
FFFFFDAE52 000002CEA9
FFFFFD3E41 FFFFFF00D9
000003BAA6 FFFFFE18F0
000000D567 000003FD41
FFFFFDF229 0000010194
FFFFFD73BB FFFFFCC4B5
000003EE65 FFFFFEE746
FFFFFFCD5E 000002E2BF
FFFFFD546A 0000007209
FFFFFDF53F FFFFFD4D16
000002C749 FFFFFF95E8
FFFFFEEE5D 000001F6C3
FFFFFE1EA5 00000078BD
FFFFFEE3E0 FFFFFD2583
0000038934 FFFFFFD707
0000006EEB 000001FD1E
BURST 33 31
FFFFFDFA42 FFFFFFC355
FFFFFFD03B FFFFFC7703
000002F2DD 000000D359
FFFFFFB70A 000001EAFE
FFFFFE2654 0000014201
00000023E7 FFFFFD31A5
000002E2FD 000001C42C
FFFFFFD194 000002B37D
FFFFFD2594 0000007A83
000000B4E2 FFFFFBFAD4
0000037760 000002384B
FFFFFF3325 000002248D
FFFFFBF2C1 FFFFFF8FAC
0000018738 FFFFFC1A4B
000001430A 000002A54A
FFFFFD6F15 000002952D
FFFFFD578B FFFFFDEFB2
000002344E FFFFFC19E5
00000413FE 000003913A
FFFFFC9677 0000018841
FFFFFD3539 FFFFFCE73F
000004FE67 FFFFFB9FF3
000003FC26 000005AB00
FFFFF856DF 000003F516
FFFFFCC035 FFFFF9FC09
000007DFAA FFFFFC6728
0000028545 00000C18A6
FFFFF3743F 000002F3FD
FFFFFB428C FFFFEE478B
00001B7FEC FFFFFC369E
FFFFFE223A 0000423DF6
000001BF18 000011BB52
00000EC166 0000409D1E
FFFFE449A8 000001A6AF
000001310E FFFFEDB204
00000CE1AF 00000072F1
FFFFFFE332 00000C5B6B
FFFFF79357 FFFFFE0211
0000020358 FFFFF97732
000008492D 000002630E
FFFFFD3259 0000065681
FFFFFA3F8E FFFFFCAEB4
00000222C9 FFFFFC6AFB
000003A553 000000D640
FFFFFCB29E 0000044B38
FFFFFD13BC FFFFFC9B67
000002343B FFFFFD74EE
000003054B 0000020805
FFFFFF47A3 000002D73C
FFFFFDBD96 FFFFFC7A18
000003E2CE FFFFFEC760
00000133CB 000001F1D0
FFFFFD0842 000002DA4B
FFFFFE85F9 FFFFFC31F1
000002E410 FFFFFFE9BC
000000B441 0000029D12
FFFFFD8350 0000024BB9
FFFFFF50D1 FFFFFD466B
0000020F44 000000DF3E
000000A749 000001D332
FFFFFD44D8 000001626D
FFFFFF7E6D FFFFFC7F2F
000001EFD2 FFFFFF5F8E
000000496B 000002EA0B
BURST 48 16
FFFFFD3140 00000251C0
FFFFFD8EA5 FFFFFDAFC2
0000029386 FFFFFC55E1
000003B57E 000003F31B
FFFFFC73FD 00000130D6
FFFFFD8631 FFFFFCA4F6
0000056636 FFFFFC226E
0000036930 000006081C
FFFFF7FC92 000003303E
FFFFFD5B25 FFFFF9B1CF
000008306F FFFFFD3113
00000152C0 00000C4953
FFFFF33931 000001B5AB
FFFFFD052B FFFFEDE6A2
00001BBD6F FFFFFEED52
FFFFF7A654 000041BDB1
0000000000 000011D238
00000859D3 000041BF0E
FFFFE4425C FFFFFEED45
000002FAE4 FFFFEDE6A3
00000CC6C2 000001B5AF
FFFFFEAD3A 00000C493B
FFFFF7CF98 FFFFFD311D
000002A4D1 FFFFF9B1B6
000008034C 0000033031
FFFFFC96D9 000006080D
FFFFFA99F3 FFFFFC2281
00000279B9 FFFFFCA539
0000038C00 00000130CE
FFFFFC4AB0 000003F32E
FFFFFD6C70 FFFFFC560D
0000027153 FFFFFDAF7B
000002CEB4 00000251B6
FFFFFF00D5 000002C1CB
FFFFFE18E9 FFFFFC454B
000003FD51 FFFFFF2A97
0000010198 0000020DDF
FFFFFCC4A8 0000028C50
FFFFFEE742 FFFFFC1189
000002E2C9 00000032A4
000000720A 000002AB9F
FFFFFD4D0C 0000020AC9
FFFFFF95E6 FFFFFD38AC
000001F6CB 00000111A9
00000078BF 000001E161
FFFFFD2579 0000011C26
FFFFFFD707 FFFFFC76BC
000001FD25 FFFFFF9115
0000000000 000002EDE8
FFFFFE02CF FFFFFF9134
00000028D1 FFFFFC76AD
000002DA91 0000011BEF
FFFFFF874B 000001E15F
FFFFFE0930 0000011191
00000069F0 FFFFFD38B8
000002B2DD 0000020AB8
FFFFFF8DF7 000002AB94
FFFFFD1D37 000000328B
00000118E4 FFFFFC119C
0000033B2F 0000028C79
FFFFFEFE52 0000020DCF
FFFFFC02D8 FFFFFF2ABA
000001E710 FFFFFC4571
000000FF1A 000002C19E
BURST 63 1
FFFFF13E5E 0000409E21
FFFFFE40F7 000011BC53
000001DDC9 000042406D
FFFFE47F5E FFFFFC368A
000004BD96 FFFFEE470C
00000C8C2B 000002F414
FFFFFD7AA8 00000C18E4
FFFFF8203D FFFFFC6727
0000033FD5 FFFFF9FBF0
000007A95E 000003F534
FFFFFC03C3 000005AAE9
FFFFFB01BB FFFFFB9FF3
000002CAC7 FFFFFCE723
00000369AB 0000018848
FFFFFBEC0A 0000039140
FFFFFDCB97 FFFFFC19FC
000002A873 FFFFFDEFB2
0000029101 000002953D
FFFFFEBCEF 000002A54B
FFFFFE78C3 FFFFFC1A49
0000040D37 FFFFFF8FD5
000000CCC8 0000022482
FFFFFC88AF 000002381C
FFFFFF4B4E FFFFFBFAF4
000002DA5D 0000007A82
0000002E74 000002B37D
FFFFFD1D0B 000001C473
FFFFFFDC32 FFFFFD31B6
000001D99C 00000141F6
000000490D 000001EAEC
FFFFFD0D3F 000000D375
0000002FC6 FFFFFC772B
00000205B5 FFFFFFC355
FFFFFFB68F 000002EA42
FFFFFE1018 FFFFFF5FDF
000000815A FFFFFC7F0F
000002BB3B 0000016266
FFFFFF58B4 000001D33D
FFFFFDF0B2 000000DF66
000000AF31 FFFFFD4674
0000027CB9 0000024BC2
FFFFFF4B93 0000029D26
FFFFFD1BE2 FFFFFFE96D
0000017A2C FFFFFC31F7
000002F7BB 000002DA65
FFFFFECC28 000001F1D9
FFFFFC1D3F FFFFFEC756
000002424E FFFFFC7A33
000000B85C 000002D73C
FFFFFCFAA6 0000020825
FFFFFDCBC3 FFFFFD7533
000002EC0C FFFFFC9B65
0000034D65 0000044B11
FFFFFC5AA3 000000D63D
FFFFFDDD41 FFFFFC6AF8
000005C04B FFFFFCAEC4
000002CD9B 0000065668
FFFFF7B6D6 0000026322
FFFFFDFCB1 FFFFF9777F
0000086C69 FFFFFE0224
0000001CC9 00000C5B0C
FFFFF31EAD 00000072F3
FFFFFECF07 FFFFEDB2BA
00001BB4D0 000001A6A3
